temperature,co2,time,humidity,motion,person_count,light
209,423,1513246940088293037,33,0,-1,100
208,435,1513247000081479555,33,0,-1,105
208,446,1513247120081725871,34,0,-1,108
208,447,1513247180072327732,34,0,-1,107
208,439,1513247240067829331,33,1,-1,103
208,445,1513247300062102355,34,2,-1,105
208,448,1513247360078434766,34,0,-1,106
209,436,1513247420056980007,34,0,-1,107
208,421,1513247480048711001,33,0,-1,109
208,434,1513247540052475326,33,1,-1,110
208,437,1513247600050801390,34,0,-1,112
208,431,1513248799971176592,33,0,3,102
209,432,1513248859973837829,33,0,3,104
209,436,1513248919963318424,33,0,3,107
209,432,1513249039958595210,33,0,3,109
209,432,1513249159958991492,33,0,3,110
209,442,1513249279944993161,33,0,3,112
210,443,1513249339945913580,33,0,3,107
209,425,1513249399942512960,33,0,3,103
210,424,1513249459933690351,33,0,3,98
210,428,1513249519932842313,33,0,3,94
209,420,1513249579927401950,33,0,3,97
210,422,1513249639921779347,33,2,3,95
210,429,1513249699922885406,33,1,3,96
210,431,1513249759923515435,33,0,3,97
209,434,1513249819918349794,33,0,3,93
209,446,1513249879905192358,33,0,3,94
209,445,1513249939912863689,33,0,3,93
210,452,1513249999907094188,33,0,5,92
210,443,1513250119897697357,33,0,5,91
210,434,1513250179895858561,33,0,5,90
210,453,1513250299884232783,33,1,5,89
210,443,1513250359886061003,33,0,5,88
210,452,1513250419918410106,33,0,5,90
210,439,1513250479876191408,33,0,5,94
210,440,1513250539878473312,33,2,5,98
210,445,1513250599872837025,33,0,5,99
210,447,1513250659877074632,33,1,5,104
211,442,1513250719856898600,33,2,5,110
211,448,1513250779883203588,33,2,5,107
210,456,1513250839860830045,33,1,5,106
210,445,1513250899851725794,33,2,5,103
210,436,1513250959861250973,33,1,5,106
211,437,1513251019851412604,33,0,5,105
210,440,1513251079844955523,33,0,5,107
211,425,1513251319820628976,33,2,5,114
211,428,1513251379820572199,33,1,5,117
211,436,1513251439835770850,33,0,5,117
211,408,1513251499817290520,33,0,5,115
211,413,1513251619831368126,33,2,5,110
210,418,1513251679804125795,33,0,5,110
211,424,1513251859791297011,33,1,5,112
210,422,1513251919796739532,33,2,5,109
211,413,1513252039777986624,33,0,5,109
211,410,1513252099776354907,33,0,5,108
210,405,1513252279773417870,33,0,5,105
211,432,1513252519754632648,33,0,5,103
211,421,1513252639745607760,33,1,5,109
211,414,1513252699785816150,33,0,5,115
212,421,1513252759750844162,33,0,5,121
212,408,1513252819739824714,33,0,5,130
212,418,1513252939731622117,33,0,5,145
211,418,1513252999728719136,33,2,5,151
211,428,1513253059720746532,33,0,3,152
212,418,1513253179722326576,33,0,3,142
212,411,1513253239712873657,33,0,3,136
212,423,1513253299707096518,33,0,3,128
212,409,1513253419705002682,33,1,3,129
212,432,1513253659691983276,33,0,3,116
212,429,1513253779681498495,33,2,3,117
212,420,1513253839671789380,33,0,3,114
212,435,1513253899668168875,33,0,3,108
212,424,1513253959671335125,33,0,3,100
212,430,1513254079672609392,33,0,3,92
212,421,1513254139658857038,33,1,3,95
212,428,1513254199653595245,33,2,3,97
212,416,1513254259653823843,33,2,3,99
212,446,1513254439643261365,33,0,5,92
212,453,1513254499635526602,33,0,5,90
212,451,1513254619628543265,33,0,5,87
212,445,1513254679623775691,33,0,4,89
212,449,1513254799618314060,33,0,4,92
212,448,1513254859614170195,33,0,4,92
212,440,1513254979611497234,33,2,4,93
212,437,1513255099601144505,33,0,4,99
212,453,1513255159599339476,33,0,4,102
212,440,1513255279589101190,33,0,4,103
212,444,1513255339592756912,33,0,4,104
211,440,1513255459593684996,33,0,4,105
212,442,1513255519582573841,33,0,4,105
212,445,1513255579569994845,33,0,4,108
211,441,1513255699570990051,33,0,4,112
211,438,1513255759596432170,33,0,4,113
211,460,1513255999549872823,33,0,4,103
211,432,1513256059550892483,33,0,4,97
212,440,1513256119542377973,33,0,4,90
211,438,1513256179554685444,33,0,4,88
212,456,1513256359527500272,33,0,3,103
211,438,1513256419535820872,33,0,3,100
212,441,1513256479547379151,33,0,3,98
212,435,1513256539519989211,33,0,3,96
212,437,1513256599581438521,33,0,3,94
212,435,1513256659513764465,33,3,3,91
212,459,1513256719509609885,33,1,4,91
212,461,1513256779553683573,33,2,4,93
212,471,1513256899499695951,34,0,4,90
212,468,1513256959502477655,34,0,4,91
212,467,1513257019491629960,34,0,4,93
212,483,1513257199488065793,34,0,6,92
212,479,1513257379469800411,34,2,6,91
212,481,1513257439466837440,34,1,6,90
212,488,1513257499468915178,34,2,6,93
213,502,1513257619450564522,34,2,6,96
213,486,1513257739449383071,34,0,6,102
213,490,1513257979428341636,34,1,7,90
213,520,1513258099427013721,34,2,7,84
213,524,1513258159428315154,34,1,7,82
213,533,1513258219413535791,34,2,7,82
214,530,1513258339407114507,34,0,7,83
214,532,1513258399442927080,34,2,7,85
213,534,1513258459401008707,34,0,7,87
213,524,1513258579394709054,34,1,7,90
213,528,1513258699392844328,34,1,7,90
214,534,1513258759386448318,34,2,8,92
214,548,1513258879381382797,34,2,8,91
214,542,1513258939375454947,34,1,8,91
214,538,1513258999372599575,34,2,7,93
214,543,1513259059375301758,34,1,8,92
214,566,1513259119392815033,34,0,8,92
214,552,1513259239353478153,34,0,8,90
214,559,1513259419347442610,34,0,8,92
214,558,1513259539341157662,34,2,8,90
214,555,1513259599343208348,34,0,8,90
214,567,1513259779326035041,34,0,8,90
215,570,1513259839421701981,34,2,8,92
215,539,1513259959321723234,34,0,8,91
214,550,1513260019316275601,34,1,8,90
214,551,1513260079306019226,34,0,8,89
214,550,1513260139314706494,33,0,8,88
214,549,1513260199305718357,34,0,8,87
215,546,1513260439354341145,34,1,8,81
215,559,1513260499291252315,34,2,9,75
214,581,1513260559279010472,34,0,9,74
214,575,1513260619287418284,34,1,9,73
215,587,1513260679281415330,34,0,8,72
214,587,1513260739278530819,34,2,10,68
215,612,1513260859267653779,34,2,10,66
215,621,1513260919347738214,34,1,10,60
215,615,1513260979257603244,34,2,10,61
215,627,1513261039255908315,34,1,10,62
215,628,1513261099264615378,34,2,10,63
215,661,1513261219248730287,35,2,12,67
216,701,1513261279244960345,35,1,12,67
215,698,1513261399239219444,35,0,12,73
216,694,1513261459224798680,35,0,12,73
216,667,1513261519230340130,35,1,12,71
215,663,1513261579218948091,35,2,12,67
216,667,1513261639211525003,35,1,9,66
216,657,1513261699218538509,35,2,10,64
216,663,1513261759217656614,35,0,10,64
215,649,1513261819203571302,35,1,10,64
215,647,1513261879207787704,35,0,10,63
215,653,1513261939206458475,35,2,10,64
216,661,1513261999232252597,35,0,10,63
215,635,1513262059193736075,35,1,10,64
215,633,1513262119184580670,35,0,10,64
215,639,1513262179201693580,35,0,10,63
216,632,1513262239187533778,35,2,10,63
216,638,1513262299236799589,34,1,10,62
216,650,1513262359213916134,35,2,10,62
216,639,1513262419176833297,35,1,8,62
216,648,1513262479174438249,35,2,8,62
216,635,1513262539167325713,35,0,8,63
216,637,1513262599165374809,34,1,8,63
216,636,1513262659161580631,34,0,8,63
217,628,1513262719156914890,34,0,8,63
216,620,1513262779152478041,34,0,8,62
217,632,1513262839150828578,34,0,8,61
217,628,1513262899146972830,34,0,8,61
217,616,1513262959141532177,34,0,8,61
217,620,1513263019135215167,34,3,8,60
