temperature,humidity,time,motion,light,person_count,co2
210,51,1515773953374130394,0,1,8,895
211,51,1515774013518971193,0,1,8,895
211,51,1515774073364263044,0,1,8,905
210,51,1515774133364063769,0,1,8,895
211,51,1515774193365022588,0,1,8,896
210,51,1515774313379438134,0,1,8,888
211,51,1515774373356775097,0,1,8,900
211,51,1515774433349142586,0,1,8,891
211,51,1515774493346986678,0,1,8,901
211,51,1515774553349675203,0,1,8,898
210,51,1515774613335982661,0,1,8,901
211,51,1515774673339551152,0,1,8,891
211,51,1515774733325876212,0,1,8,890
211,51,1515774793338468864,0,1,8,885
211,51,1515774913373101432,0,1,7,892
211,51,1515774973317280602,0,1,7,907
211,51,1515775033310578082,0,1,7,885
211,51,1515775093306889804,0,1,7,892
211,51,1515775153306436365,0,1,7,892
211,51,1515775213311097587,0,1,7,902
211,51,1515775273301628252,0,1,7,901
211,51,1515775333309143091,0,1,7,888
211,51,1515775393294502671,0,1,7,903
211,51,1515775453282106261,0,1,7,897
211,51,1515775513299999034,0,1,7,894
211,51,1515775573280361200,0,1,7,900
211,51,1515775633276378955,0,1,7,899
211,51,1515775693270209274,0,1,7,905
211,51,1515775753272143590,0,1,7,896
211,51,1515775813267505188,0,1,7,896
211,51,1515775873263568631,0,1,7,898
212,51,1515775933264289071,0,1,6,898
211,51,1515775993266384680,0,1,6,901
211,51,1515776053250505224,0,1,6,901
211,51,1515776113277721789,0,1,6,896
212,51,1515776173249068905,0,1,6,892
211,51,1515776233273473369,0,1,6,903
212,51,1515776293248707352,0,1,6,898
211,51,1515776353240919357,0,1,6,898
211,51,1515776413264491876,0,1,6,904
211,51,1515776473239630374,0,1,6,897
212,51,1515776533225887239,0,1,6,893
211,51,1515776593230942874,0,1,6,896
211,51,1515776653216297603,0,1,6,910
212,51,1515776713221911536,0,1,6,897
211,51,1515776773215260713,0,1,6,894
211,51,1515776833203433650,0,1,6,896
211,51,1515776893415390153,0,1,6,898
211,51,1515776953198934779,0,1,6,902
211,51,1515777013196149048,0,1,6,904
210,51,1515777073189801266,0,1,6,910
211,51,1515777133187650177,0,1,6,898
210,51,1515777193233336640,0,1,6,903
210,51,1515777253185660377,0,1,6,899
210,51,1515777313512661791,0,1,6,902
209,51,1515777373177772111,0,1,6,897
209,51,1515777433177288206,0,1,6,904
209,51,1515777493168967174,0,1,6,911
208,51,1515777553269030454,0,1,6,902
208,51,1515777613155680877,0,1,6,911
208,51,1515777673163662535,0,1,6,911
208,51,1515777733159962545,0,1,6,899
207,51,1515777793152341365,0,1,6,906
206,51,1515777853152767058,0,1,6,903
206,52,1515777913148451020,0,1,6,900
206,52,1515777973149256680,0,1,6,903
205,52,1515778033148680662,0,1,6,902
205,52,1515778093138081660,0,1,6,900
205,52,1515778153137699593,0,1,6,904
205,52,1515778213137615430,0,1,6,901
205,52,1515778273153055353,0,1,6,885
204,52,1515778333119960698,0,1,6,904
204,52,1515778393127800579,0,1,6,911
203,52,1515778453242197812,0,1,6,896
203,52,1515778513115952445,0,1,6,903
203,52,1515778573106998301,0,1,6,900
203,52,1515778633142866186,0,1,6,907
202,52,1515778693096148847,0,1,6,905
202,52,1515778753123059398,0,1,6,913
202,52,1515778813097591300,0,1,6,893
202,52,1515778873088542553,0,1,6,900
201,53,1515778933085301425,0,1,6,904
201,52,1515778993093425858,0,1,6,904
201,53,1515779053084949510,0,1,6,906
201,53,1515779113079360807,0,1,6,909
200,53,1515779173120850709,0,1,6,905
200,53,1515779233067082375,0,1,6,902
200,53,1515779293059828193,0,1,6,891
200,53,1515779353064595022,0,1,6,909
200,53,1515779413059219573,0,1,6,914
199,53,1515779473063037741,0,1,6,904
192,54,1515782712862708427,0,1,1,889
191,54,1515782772860451609,0,1,1,893
191,54,1515782832862717039,0,1,1,893
191,54,1515782892857957489,0,1,1,896
191,54,1515782952846489203,0,1,1,905
191,54,1515783013089036812,0,1,1,889
191,55,1515783072839682659,0,1,1,898
191,54,1515783132840698991,0,1,1,898
191,55,1515783192832303938,0,1,1,894
191,55,1515783252839417702,0,1,1,891
191,55,1515783312832229562,0,1,1,889
190,55,1515783372827901418,0,1,1,901
191,55,1515783432819979317,0,1,1,883
190,55,1515783492819497099,0,1,1,890
190,55,1515783552816537381,0,1,1,886
190,55,1515783612818098679,0,1,1,885
190,55,1515783672806785888,0,1,1,894
190,55,1515783732817459438,0,1,1,888
190,55,1515783792806324180,0,1,1,882
190,55,1515783852803887355,0,1,1,885
190,55,1515783912794498547,0,1,1,875
189,55,1515783972813322019,0,1,1,893
190,55,1515784032910708521,0,1,1,895
190,55,1515784092785831365,0,1,1,877
189,55,1515784152781757412,0,1,1,879
189,55,1515784212784025147,0,1,1,888
189,55,1515784272780424382,0,1,1,890
189,55,1515784332785077940,0,1,1,878
189,55,1515784392766793002,0,1,1,880
189,55,1515784452761845829,0,1,1,886
188,55,1515784512760156714,0,1,1,880
189,55,1515784572757871662,0,1,1,884
189,55,1515784632748882840,0,1,1,887
189,55,1515784692751155780,0,1,1,879
189,55,1515784752748775327,0,0,1,882
188,55,1515784812746398817,0,1,1,876
188,55,1515784872746071583,0,1,1,889
188,55,1515784932735423026,0,1,1,869
188,55,1515784992733433351,0,1,1,886
188,55,1515785052729983233,0,1,1,886
188,55,1515785112722186963,0,1,1,889
