time,person_count
13/02/2018 17:11:10,10
13/02/2018 17:13:44,9
13/02/2018 17:13:44,8
13/02/2018 17:13:45,7
13/02/2018 17:13:46,6
13/02/2018 17:13:48,5
13/02/2018 17:13:48,6
13/02/2018 17:14:03,7
13/02/2018 17:14:05,6
13/02/2018 17:24:12,6
13/02/2018 17:29:15,6
13/02/2018 17:34:19,6
13/02/2018 17:35:37,5
13/02/2018 17:35:37,4
13/02/2018 17:35:37,3
13/02/2018 17:35:38,2
13/02/2018 17:35:38,1
13/02/2018 17:35:39,0
13/02/2018 17:40:42,0
13/02/2018 17:45:46,0
13/02/2018 17:50:49,0
13/02/2018 17:55:52,0
13/02/2018 18:00:56,0
13/02/2018 18:05:59,0
13/02/2018 18:11:03,0
13/02/2018 18:16:06,0
13/02/2018 18:21:09,0
13/02/2018 18:26:13,0
13/02/2018 18:31:16,0
15/02/2018 09:02:10,1
15/02/2018 09:02:11,2
15/02/2018 09:02:11,3
15/02/2018 09:02:12,4
15/02/2018 09:07:16,4
15/02/2018 09:12:19,4
15/02/2018 09:17:22,4
15/02/2018 09:22:26,4
15/02/2018 09:27:29,4
15/02/2018 09:32:33,4
15/02/2018 09:37:36,4
15/02/2018 09:42:40,4
15/02/2018 09:47:44,4
15/02/2018 09:52:46,4
15/02/2018 09:57:50,4
15/02/2018 10:02:53,4
15/02/2018 10:06:43,3
15/02/2018 10:11:46,3
15/02/2018 10:16:49,3
15/02/2018 10:20:05,2
15/02/2018 10:20:08,1
15/02/2018 10:20:08,0
15/02/2018 10:25:12,0
15/02/2018 10:30:15,0
15/02/2018 10:35:19,0
15/02/2018 10:40:22,0
15/02/2018 10:45:25,0
15/02/2018 10:50:29,0
15/02/2018 10:55:32,0
15/02/2018 11:00:36,0
15/02/2018 11:05:39,0
15/02/2018 11:10:42,0
15/02/2018 11:15:46,0
15/02/2018 12:35:50,2
15/02/2018 12:35:50,1
15/02/2018 12:40:53,2
15/02/2018 12:45:57,2
15/02/2018 12:51:01,2
15/02/2018 12:56:04,2
15/02/2018 13:01:07,2
15/02/2018 13:06:11,2
15/02/2018 13:11:14,2
15/02/2018 13:16:18,2
15/02/2018 13:21:21,2
15/02/2018 13:26:24,2
15/02/2018 13:31:28,2
15/02/2018 13:36:31,2
15/02/2018 13:41:35,2
15/02/2018 13:46:38,2
15/02/2018 13:51:42,2
15/02/2018 13:56:45,2
15/02/2018 14:01:48,2
15/02/2018 14:06:52,2
15/02/2018 14:11:55,2
15/02/2018 14:16:59,2
15/02/2018 14:22:02,2
15/02/2018 14:26:43,0
