co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
446,0.02291833468021238,429.8,34,108,0,208,-1
447,0.046113439948344756,436.6,34,107,0,208,-1
439,0.05933738087553817,438.0,33,103,1,208,-1
445,0.05933716596669085,442.4,34,105,2,208,-1
448,0.06333420183789941,445.0,34,106,0,208,-1
436,0.026668372077858122,443.0,34,107,0,209,-1
421,-0.0008333997216391873,437.8,33,109,0,208,-1
434,-0.023334269339304676,436.8,33,110,1,208,-1
437,-0.04083803539555917,435.2,34,112,0,208,-1
431,-0.00811644667947002,431.8,33,102,0,208,3
432,-0.004927803594542359,431.0,33,104,0,209,3
436,-0.002029116601215271,434.0,33,107,0,209,3
432,-0.001111182262272962,433.6,33,109,0,209,3
432,0.0022222974414147826,432.6,33,110,0,209,3
442,0.0090482404591217,434.8,33,112,0,209,3
443,0.0071431531550336285,437.0,33,107,0,210,3
425,0.0033334822500491455,434.8,33,103,0,209,3
424,0.0020001686890135637,433.2,33,98,0,210,3
428,-0.010000506317421406,432.4,33,94,0,210,3
420,-0.03750289265026057,428.0,33,97,0,209,3
422,-0.045837293216119165,423.8,33,95,2,210,3
429,-0.035834946636305716,424.6,33,96,1,210,3
431,-0.026667703033032574,426.0,33,97,0,210,3
434,-0.0033334590641397187,427.2,33,93,0,209,3
446,0.03583581003858651,432.4,33,94,0,209,3
445,0.0516688242031698,437.0,33,93,0,209,3
452,0.06500444768005019,441.6,33,92,0,210,5
443,0.05600385536031649,444.0,33,91,0,210,5
434,0.0386678697335182,444.0,33,90,0,210,5
453,0.023335189192072826,445.4,33,89,1,210,5
443,0.00944499627588283,445.0,33,88,0,210,5
452,0.003333103209065368,445.0,33,90,0,210,5
439,0.0006667103743066222,444.2,33,94,0,210,5
440,0.0,445.4,33,98,2,210,5
445,-0.005000275512815784,443.8,33,99,0,210,5
447,-0.0016669537671162396,444.6,33,104,1,210,5
442,-0.00666720262173415,442.6,33,110,2,211,5
448,-0.004166584546330175,444.4,33,107,2,211,5
456,0.015834125501309256,447.6,33,106,1,210,5
445,0.012501320394760063,447.6,33,103,2,210,5
436,0.011666455098849515,445.4,33,106,1,210,5
437,0.0,444.4,33,105,0,211,5
440,-0.020001322972861477,442.8,33,107,0,210,5
425,-0.026192415485354694,436.6,33,114,2,211,5
428,-0.02905043270234675,433.2,33,117,1,211,5
436,-0.026667659826784217,433.2,33,117,0,211,5
408,-0.036669082015430246,427.4,33,115,0,211,5
413,-0.04866492457162356,422.0,33,110,2,211,5
418,-0.042002302615512674,420.6,33,110,0,210,5
424,-0.031908140664347585,419.8,33,112,1,211,5
422,-0.024763116442787038,417.0,33,109,2,210,5
413,-0.009525020146645713,418.0,33,109,0,211,5
410,-0.00761955143460279,417.4,33,108,0,211,5
405,-0.011905268700974263,414.8,33,105,0,210,5
432,-0.001000070183036745,416.4,33,103,0,211,5
421,-0.0030001619021047454,416.2,33,109,1,211,5
414,-0.001666640385406393,416.4,33,115,0,211,5
421,0.00791703899362137,418.6,33,121,0,212,5
408,0.009333794047526158,419.2,33,130,0,212,5
418,0.0006666977473019036,416.4,33,145,0,212,5
418,-0.0020003807188472495,415.8,33,151,2,211,5
428,0.0,418.6,33,152,0,211,3
418,-0.0033334953620864694,418.0,33,142,0,212,3
411,0.007333791659176265,418.6,33,136,0,212,3
423,0.012667579689134928,419.6,33,128,0,212,3
409,-0.002222319410006184,417.8,33,129,1,212,3
432,0.0012500790239907303,418.6,33,116,0,212,3
429,0.004074310800357371,420.8,33,117,2,212,3
420,0.005555918821786245,422.6,33,114,0,212,3
435,0.015001151150884582,425.0,33,108,0,212,3
424,0.031335490050935964,428.0,33,100,0,212,3
430,0.02266733831488433,427.6,33,92,0,212,3
421,0.01133382190797157,426.0,33,95,1,212,3
428,0.008667087701481927,427.6,33,97,2,212,3
416,-0.014000817244867446,423.8,33,99,2,212,3
446,0.0016668025476354066,428.2,33,92,0,212,5
453,0.01889011309677835,432.8,33,90,0,212,5
451,0.026668257354067297,438.8,33,87,0,212,5
